hillary	trump	bill	ideo	econ	partyid	relative
85	70	0	4	3	3	15
0	70	0	7	5	7	-70
85	0	100	6	2	1	85
15	85	15	4	4	7	-70
60	40	50	4	3	5	20
50	15	50	4	4	3	35
70	0	85	2	2	3	70
70	15	70	3	2	2	55
15	85	15	7	3	7	-70
60	70	70	5	4	6	-10
30	60	40	5	4	6	-30
60	0	60	2	3	2	60
65	35	70	4	2	2	30
0	100	0	6	5	7	-100
60	0	60	3	4	4	60
30	40	60	3	2	4	-10
70	0	85	6	2	1	70
30	40	30	4	3	6	-10
20	75	20	6	5	7	-55
30	70	60	6	5	6	-40
0	85	15	6	3	5	-85
0	85	0	7	5	5	-85
85	0	85	2	2	2	85
0	85	70	6	4	7	-85
15	50	30	6	3	7	-35
40	40	30	5	3	7	0
70	0	60	2	2	1	70
60	0	70	4	3	3	60
0	85	0	6	3	5	-85
100	30	100	2	2	2	70
30	30	15	5	3	7	0
40	30	50	5	3	4	10
30	50	70	5	4	6	-20
40	40	60	4	2	4	0
15	85	15	5	2	7	-70
40	70	30	6	3	4	-30
70	40	50	5	1	3	30
60	0	70	5	2	3	60
50	0	60	2	2	3	50
0	60	0	4	2	6	-60
85	60	85	4	1	1	25
85	30	85	2	2	1	55
0	60	0	7	3	5	-60
0	70	15	4	3	5	-70
0	40	0	5	3	4	-40
85	15	70	2	1	2	70
60	0	70	2	3	1	60
30	60	40	5	2	5	-30
0	70	0	5	3	5	-70
100	0	85	3	2	1	100
0	15	0	6	4	7	-15
0	70	15	5	3	6	-70
40	0	70	4	4	2	40
85	0	70	1	2	1	85
40	0	15	3	2	4	40
100	0	100	2	1	1	100
40	0	60	2	2	2	40
85	0	100	2	3	4	85
0	100	0	4	5	4	-100
0	85	0	6	3	5	-85
70	60	50	4	2	3	10
70	0	70	3	2	3	70
85	0	85	2	1	1	85
75	0	78	2	2	1	75
0	85	0	6	3	6	-85
60	0	85	1	2	3	60
15	0	60	5	2	6	15
50	0	60	1	1	1	50
40	50	50	5	3	2	-10
30	0	40	5	2	6	30
85	0	85	1	3	1	85
0	70	50	3	2	6	-70
30	70	30	4	2	5	-40
0	40	50	5	3	6	-40
0	15	0	6	3	5	-15
0	100	0	6	5	7	-100
90	0	75	4	2	1	90
0	0	50	6	3	7	0
70	0	70	2	3	1	70
70	0	50	2	3	1	70
90	0	90	2	2	1	90
0	100	0	6	5	7	-100
85	0	85	5	2	1	85
85	0	70	4	2	2	85
15	48	85	4	3	4	-33
15	60	0	6	3	7	-45
0	71	0	6	4	5	-71
2	91	8	3	5	5	-89
0	70	30	5	3	5	-70
90	0	85	4	3	1	90
2	77	21	6	3	7	-75
0	85	30	5	3	5	-85
0	60	0	6	5	7	-60
76	3	98	4	2	3	73
30	15	40	2	2	7	15
85	2	100	2	1	1	83
15	70	0	6	3	7	-55
0	85	0	6	5	5	-85
0	15	60	5	3	5	-15
96	54	100	4	3	3	42
60	15	40	4	3	4	45
0	70	0	6	5	7	-70
85	0	85	4	4	1	85
0	85	0	6	5	6	-85
30	0	50	4	2	4	30
72	5	77	4	3	3	67
62	0	11	4	3	4	62
0	50	0	4	5	4	-50
